id;title;url;cover;rate
6311303;加勒比海盗5：死无对证;https://movie.douban.com/subject/6311303/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2459723975.jpg;7.2
26788667;名侦探柯南：唐红的恋歌;https://movie.douban.com/subject/26788667/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2461296240.jpg;6.4
25850715;虐杀器官;https://movie.douban.com/subject/25850715/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2396428546.jpg;7.3
11600078;目击者之追凶;https://movie.douban.com/subject/11600078/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2494647817.jpg;8.1
25824686;变形金刚5：最后的骑士;https://movie.douban.com/subject/25824686/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2462475058.jpg;4.8
26270502;绣春刀II：修罗战场;https://movie.douban.com/subject/26270502/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2492665487.jpg;7.4
26761325;牡丹花下;https://movie.douban.com/subject/26761325/;https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2462195488.jpg;5.9
26383923;刺杀盖世太保;https://movie.douban.com/subject/26383923/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503580704.jpg;6.5
25884801;记忆大师;https://movie.douban.com/subject/25884801/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455156816.jpg;7.2
1578714;神奇女侠;https://movie.douban.com/subject/1578714/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2460006593.jpg;7.1
26644205;安娜贝尔2：诞生;https://movie.douban.com/subject/26644205/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2465524814.jpg;6.4
26760160;破·局;https://movie.douban.com/subject/26760160/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2496288510.jpg;6.3
26635323;无限之住人;https://movie.douban.com/subject/26635323/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2395534781.jpg;6.2
26705107;豆福传;https://movie.douban.com/subject/26705107/;https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2494279975.jpg;5.7
